18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 345 | Xp Modification Required: Level 1, Xp 3750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 1985 | Xp Modification Required: Level 5, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 1985 | Xp Modification Required: Level 5, Xp 16250
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 1, Xp 2300 | Xp Modification Required: Level 5, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 2300 | Xp Modification Required: Level 5, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 2400 | Xp Modification Required: Level 5, Xp 10000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 11, Xp 2430 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 2430 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 13, Xp 2460 | Xp Modification Required: Level 5, Xp 18750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 14, Xp 2460 | Xp Modification Required: Level 5, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 2460 | Xp Modification Required: Level 5, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 2460 | Xp Modification Required: Level 5, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 5, Xp 2730 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 17, Xp 4100 | Xp Modification Required: Level 5, Xp 23750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 18, Xp 4100 | Xp Modification Required: Level 5, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 4100 | Xp Modification Required: Level 5, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 4110 | Xp Modification Required: Level 5, Xp 11250
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 15, Xp 4200 | Xp Modification Required: Level 5, Xp 22500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 17, Xp 4200 | Xp Modification Required: Level 5, Xp 22500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 4370 | Xp Modification Required: Level 5, Xp 16250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 1, Xp 4785 | Xp Modification Required: Level 5, Xp 10000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 6, Xp 4785 | Xp Modification Required: Level 5, Xp 10000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 7, Xp 4785 | Xp Modification Required: Level 5, Xp 10000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 12, Xp 5175 | Xp Modification Required: Level 5, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 5175 | Xp Modification Required: Level 5, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 5175 | Xp Modification Required: Level 5, Xp 17500
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 1, Xp 5250 | Xp Modification Required: Level 5, Xp 25000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 17, Xp 5250 | Xp Modification Required: Level 5, Xp 25000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 9, Xp 6510 | Xp Modification Required: Level 5, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 6510 | Xp Modification Required: Level 5, Xp 13750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 10, Xp 6510 | Xp Modification Required: Level 5, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 6510 | Xp Modification Required: Level 5, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 6510 | Xp Modification Required: Level 5, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 6, Xp 6710 | Xp Modification Required: Level 5, Xp 8750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 6, Xp 7070 | Xp Modification Required: Level 5, Xp 12500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 8, Xp 7070 | Xp Modification Required: Level 5, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 7070 | Xp Modification Required: Level 5, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 7070 | Xp Modification Required: Level 5, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 7070 | Xp Modification Required: Level 5, Xp 12500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 7, Xp 7170 | Xp Modification Required: Level 5, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 7170 | Xp Modification Required: Level 5, Xp 10000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 10, Xp 7200 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 7200 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 7200 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 7200 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 7500 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 19, Xp 135 | Xp Modification Required: Level 6, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 135 | Xp Modification Required: Level 6, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 435 | Xp Modification Required: Level 6, Xp 21250
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 12, Xp 650 | Xp Modification Required: Level 6, Xp 20000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 15, Xp 650 | Xp Modification Required: Level 6, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 650 | Xp Modification Required: Level 6, Xp 20000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 18, Xp 1370 | Xp Modification Required: Level 6, Xp 23750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 6, Xp 1380 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 7, Xp 1380 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 8, Xp 1380 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 1380 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 17, Xp 1470 | Xp Modification Required: Level 6, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 1470 | Xp Modification Required: Level 6, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 1595 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 6, Xp 1595 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 11, Xp 1640 | Xp Modification Required: Level 6, Xp 16250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 11, Xp 1640 | Xp Modification Required: Level 6, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 1640 | Xp Modification Required: Level 6, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 1640 | Xp Modification Required: Level 6, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 1640 | Xp Modification Required: Level 6, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 2115 | Xp Modification Required: Level 6, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 2115 | Xp Modification Required: Level 6, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 3755 | Xp Modification Required: Level 6, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 3780 | Xp Modification Required: Level 6, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 6, Xp 3980 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 9, Xp 4340 | Xp Modification Required: Level 6, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 4340 | Xp Modification Required: Level 6, Xp 12500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 1, Xp 4440 | Xp Modification Required: Level 6, Xp 10000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 5, Xp 4440 | Xp Modification Required: Level 6, Xp 10000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 7, Xp 4440 | Xp Modification Required: Level 6, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 4440 | Xp Modification Required: Level 6, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 4470 | Xp Modification Required: Level 6, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 12, Xp 4830 | Xp Modification Required: Level 6, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 4830 | Xp Modification Required: Level 6, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 4830 | Xp Modification Required: Level 6, Xp 17500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 6150 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 6165 | Xp Modification Required: Level 6, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 6165 | Xp Modification Required: Level 6, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 6410 | Xp Modification Required: Level 6, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 8, Xp 6725 | Xp Modification Required: Level 6, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 6725 | Xp Modification Required: Level 6, Xp 12500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 9, Xp 6855 | Xp Modification Required: Level 6, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 6855 | Xp Modification Required: Level 6, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 6855 | Xp Modification Required: Level 6, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 19, Xp 7290 | Xp Modification Required: Level 6, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 7290 | Xp Modification Required: Level 6, Xp 25000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 19, Xp 7290 | Xp Modification Required: Level 6, Xp 25000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 16, Xp 7590 | Xp Modification Required: Level 6, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 7590 | Xp Modification Required: Level 6, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 7805 | Xp Modification Required: Level 6, Xp 20000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 15, Xp 7805 | Xp Modification Required: Level 6, Xp 20000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 1, Xp 8535 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 7, Xp 8535 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 8, Xp 8535 | Xp Modification Required: Level 6, Xp 11250
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 1, Xp 8550 | Xp Modification Required: Level 6, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 8550 | Xp Modification Required: Level 6, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 8625 | Xp Modification Required: Level 6, Xp 22500
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 8750 | Xp Modification Required: Level 6, Xp 8750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 45 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 45 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 360 | Xp Modification Required: Level 7, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 460 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 490 | Xp Modification Required: Level 7, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 13, Xp 520 | Xp Modification Required: Level 7, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 520 | Xp Modification Required: Level 7, Xp 18750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 14, Xp 520 | Xp Modification Required: Level 7, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 520 | Xp Modification Required: Level 7, Xp 18750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 9, Xp 850 | Xp Modification Required: Level 7, Xp 17500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 13, Xp 850 | Xp Modification Required: Level 7, Xp 17500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 15, Xp 1440 | Xp Modification Required: Level 7, Xp 20000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 18, Xp 2160 | Xp Modification Required: Level 7, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 2160 | Xp Modification Required: Level 7, Xp 23750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 7, Xp 2170 | Xp Modification Required: Level 7, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 2170 | Xp Modification Required: Level 7, Xp 11250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 12, Xp 2430 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 2430 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 2845 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 7, Xp 2845 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 3235 | Xp Modification Required: Level 7, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 3235 | Xp Modification Required: Level 7, Xp 17500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 16, Xp 3610 | Xp Modification Required: Level 7, Xp 21250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 7, Xp 4570 | Xp Modification Required: Level 7, Xp 13750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 8, Xp 4570 | Xp Modification Required: Level 7, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 4570 | Xp Modification Required: Level 7, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 4570 | Xp Modification Required: Level 7, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 4570 | Xp Modification Required: Level 7, Xp 13750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 6, Xp 5130 | Xp Modification Required: Level 7, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 8, Xp 5130 | Xp Modification Required: Level 7, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 5130 | Xp Modification Required: Level 7, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 5130 | Xp Modification Required: Level 7, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 5230 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 10, Xp 5260 | Xp Modification Required: Level 7, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 5260 | Xp Modification Required: Level 7, Xp 15000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 11, Xp 5260 | Xp Modification Required: Level 7, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 5260 | Xp Modification Required: Level 7, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 5260 | Xp Modification Required: Level 7, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 5620 | Xp Modification Required: Level 7, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 5695 | Xp Modification Required: Level 7, Xp 25000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 15, Xp 5995 | Xp Modification Required: Level 7, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 5995 | Xp Modification Required: Level 7, Xp 21250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 14, Xp 6210 | Xp Modification Required: Level 7, Xp 20000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 15, Xp 6210 | Xp Modification Required: Level 7, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 6210 | Xp Modification Required: Level 7, Xp 20000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 15, Xp 6210 | Xp Modification Required: Level 7, Xp 20000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 1, Xp 6940 | Xp Modification Required: Level 7, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 6, Xp 6940 | Xp Modification Required: Level 7, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 8, Xp 6940 | Xp Modification Required: Level 7, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 6940 | Xp Modification Required: Level 7, Xp 11250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 16, Xp 7030 | Xp Modification Required: Level 7, Xp 22500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 17, Xp 7030 | Xp Modification Required: Level 7, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 7030 | Xp Modification Required: Level 7, Xp 22500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 17, Xp 7030 | Xp Modification Required: Level 7, Xp 22500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 11, Xp 7200 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 7200 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 7200 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 7200 | Xp Modification Required: Level 7, Xp 16250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 13, Xp 7675 | Xp Modification Required: Level 7, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 7675 | Xp Modification Required: Level 7, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 7675 | Xp Modification Required: Level 7, Xp 18750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 17, Xp 9315 | Xp Modification Required: Level 7, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 9315 | Xp Modification Required: Level 7, Xp 23750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 10, Xp 9340 | Xp Modification Required: Level 7, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 9340 | Xp Modification Required: Level 7, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 9900 | Xp Modification Required: Level 7, Xp 12500
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 10000 | Xp Modification Required: Level 7, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 30 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 12, Xp 390 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 12, Xp 390 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 390 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 390 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 390 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 16, Xp 1700 | Xp Modification Required: Level 8, Xp 23750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 18, Xp 1700 | Xp Modification Required: Level 8, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 1710 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 1725 | Xp Modification Required: Level 8, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 1725 | Xp Modification Required: Level 8, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 1970 | Xp Modification Required: Level 8, Xp 16250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 1, Xp 2285 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 8, Xp 2285 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 2285 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 2415 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 2415 | Xp Modification Required: Level 8, Xp 15000
